model,dim,n_ref,seed,auc_cos,auc_svd,auc_full,auc_logreg,best_k_svd
all-MiniLM-L6-v2,384,4,58,0.7487041666666667,0.7508986111111111,,0.8004347222222222,3
all-MiniLM-L6-v2,384,4,59,0.6917055555555556,0.7172388888888888,,0.7172277777777778,1
all-MiniLM-L6-v2,384,4,60,0.7113319444444445,0.7192791666666667,,0.6234208333333333,1
all-MiniLM-L6-v2,384,4,61,0.7063930555555555,0.7436958333333333,,0.8037291666666666,2
all-MiniLM-L6-v2,384,4,62,0.7332861111111111,0.7311027777777779,,0.752425,1
all-MiniLM-L6-v2,384,4,63,0.6548041666666667,0.6849152777777777,,0.6316791666666667,2
all-MiniLM-L6-v2,384,4,64,0.7342930555555555,0.7703736111111111,,0.8354041666666666,3
all-MiniLM-L6-v2,384,4,65,0.6580472222222222,0.6815638888888889,,0.749975,3
all-MiniLM-L6-v2,384,4,66,0.7488055555555556,0.7450972222222223,,0.7348583333333334,1
all-MiniLM-L6-v2,384,4,67,0.7580319444444444,0.7535819444444444,,0.7431125000000001,1
all-MiniLM-L6-v2,384,4,68,0.6623944444444445,0.7125416666666666,,0.7634777777777779,2
all-MiniLM-L6-v2,384,4,69,0.7550875,0.7675041666666667,,0.7202402777777779,1
all-MiniLM-L6-v2,384,4,70,0.7801208333333334,0.7848819444444444,,0.8186958333333333,1
all-MiniLM-L6-v2,384,4,71,0.7298611111111112,0.7511055555555556,,0.7832083333333334,3
all-MiniLM-L6-v2,384,4,72,0.7782222222222223,0.7977805555555555,,0.7302194444444444,3
all-MiniLM-L6-v2,384,4,73,0.7338902777777778,0.7408625,,0.7635097222222222,3
all-MiniLM-L6-v2,384,4,74,0.6815527777777779,0.6982638888888889,,0.6454722222222222,3
all-MiniLM-L6-v2,384,4,75,0.7198819444444443,0.7281597222222222,,0.7582402777777777,1
all-MiniLM-L6-v2,384,4,76,0.6651041666666667,0.6747013888888889,,0.6208125,1
all-MiniLM-L6-v2,384,4,77,0.7578166666666668,0.7747555555555555,,0.7919666666666667,3
all-MiniLM-L6-v2,384,4,78,0.7368458333333333,0.7603347222222222,,0.8009680555555556,1
all-MiniLM-L6-v2,384,4,79,0.7594180555555556,0.7847791666666666,,0.7520875,1
all-MiniLM-L6-v2,384,4,80,0.7115458333333333,0.7165486111111111,,0.6209541666666667,3
