dataset,model,method,source,n_seeds,mean_auc,std_auc,ci95_low,ci95_high,embedder
ToxicChat,bge-large-en-v1.5,B1_raw,E8/E8q,5,0.9515608386335955,0.005116598625750041,0.9452077423267429,0.9579139349404482,
ToxicChat,bge-large-en-v1.5,B1b_SigmaT_wh,E8/E8q,5,0.9555952403966981,0.0020910053110292305,0.9529989143819402,0.958191566411456,
ToxicChat,bge-large-en-v1.5,B1w_SigmaW_wh,E8/E8q,5,0.9637452394300849,0.0005504755186311359,0.9630617337967081,0.9644287450634618,
Wild,Qwen3-Embedding-8B,B1_raw,E8/E8q,5,0.8746640625,0.009010368630576993,0.8634762121608679,0.885851912839132,
Wild,Qwen3-Embedding-8B,B1b_SigmaT_wh,E8/E8q,5,0.822446875,0.006883043479204583,0.8139004477138005,0.8309933022861995,
Wild,Qwen3-Embedding-8B,B1w_SigmaW_wh,E8/E8q,5,0.83907453125,0.0049335204059769815,0.8329487565774947,0.8452003059225053,
Wild,all-mpnet-base-v2,B1_raw,E8/E8q,5,0.8667789062500001,0.006016935607028007,0.859307893927243,0.8742499185727571,
Wild,all-mpnet-base-v2,B1b_SigmaT_wh,E8/E8q,5,0.82969609375,0.008978199830956643,0.8185481862512219,0.840844001248778,
Wild,all-mpnet-base-v2,B1w_SigmaW_wh,E8/E8q,5,0.8474985937499999,0.009310105203429493,0.835938571299412,0.8590586162005879,
Wild,bge-base-en-v1.5,B1_raw,E8/E8q,5,0.861790625,0.005021267786922789,0.8555558975636377,0.8680253524363624,
Wild,bge-base-en-v1.5,B1b_SigmaT_wh,E8/E8q,5,0.8312603125000001,0.006964878264251241,0.8226122739074074,0.8399083510925928,
Wild,bge-base-en-v1.5,B1w_SigmaW_wh,E8/E8q,5,0.8485037500000001,0.005828711494451275,0.8412664487814235,0.8557410512185767,
Wild,bge-large-en-v1.5,B1_raw,E8/E8q,5,0.871923125,0.005020135530260903,0.8656898034459715,0.8781564465540286,
Wild,bge-large-en-v1.5,B1b_SigmaT_wh,E8/E8q,5,0.83232921875,0.012884507563591685,0.8163309895737041,0.8483274479262959,
Wild,bge-large-en-v1.5,B1w_SigmaW_wh,E8/E8q,5,0.8478781249999999,0.01045990628960902,0.8348904359356073,0.8608658140643926,
XSTest,Qwen3-Embedding-8B,B1_raw,E8/E8q,5,0.8269461077844312,0.03156185668447055,0.7877568866228573,0.8661353289460052,
XSTest,Qwen3-Embedding-8B,B1b_SigmaT_wh,E8/E8q,5,0.9381088569130396,0.011542985234513914,0.923776347715546,0.9524413661105332,
XSTest,Qwen3-Embedding-8B,B1w_SigmaW_wh,E8/E8q,5,0.9369916882652604,0.011283159996278538,0.9229817947119083,0.9510015818186124,
XSTest,all-mpnet-base-v2,B1_raw,E8/E8q,5,0.7851193136115828,0.02031858229210717,0.7598904614849328,0.8103481657382329,
XSTest,all-mpnet-base-v2,B1b_SigmaT_wh,E8/E8q,5,0.8969791759764053,0.013164081281965207,0.880633810179161,0.9133245417736496,
XSTest,all-mpnet-base-v2,B1w_SigmaW_wh,E8/E8q,5,0.8998570024130842,0.012555345462678415,0.8842674819670654,0.915446522859103,
XSTest,bge-base-en-v1.5,B1_raw,E8/E8q,5,0.7774689427115916,0.025573225596923294,0.745715589169949,0.8092222962532343,
XSTest,bge-base-en-v1.5,B1b_SigmaT_wh,E8/E8q,5,0.8679685405308787,0.022463360903125184,0.8400765940188101,0.8958604870429473,
XSTest,bge-base-en-v1.5,B1w_SigmaW_wh,E8/E8q,5,0.8731879524533023,0.021763394946064264,0.8461651284700845,0.90021077643652,
XSTest,bge-large-en-v1.5,B1_raw,E8/E8q,5,0.7813030655107696,0.025970747253867405,0.749056123639193,0.8135500073823461,
XSTest,bge-large-en-v1.5,B1b_SigmaT_wh,E8/E8q,5,0.8876753954777012,0.014998132850593381,0.8690527538768422,0.9062980370785603,
XSTest,bge-large-en-v1.5,B1w_SigmaW_wh,E8/E8q,5,0.8881401376351773,0.014604685528412402,0.87000602540946,0.9062742498608946,
AdvBench,Qwen3-Embedding-8B,A1_naive_cosine_raw,E12,5,0.9966312500000001,0.00031436940849900784,0.9962409088233303,0.9970215911766699,
AdvBench,Qwen3-Embedding-8B,A1b_cosine_whitened,E12,5,0.999953125,3.125000000003819e-05,0.9999143230000561,0.9999919269999439,
AdvBench,Qwen3-Embedding-8B,A2_rsfi_svd_raw_k20,E12,5,0.9985968749999999,0.00022108132694778997,0.9983223662756537,0.9988713837243461,
AdvBench,Qwen3-Embedding-8B,A3_rsfi_svd_whitened_k20,E12,5,0.9759062500000001,0.00958481363114328,0.9640051319847167,0.9878073680152835,
AdvBench,Qwen3-Embedding-8B,B1_discriminant_mean_raw,E12,5,0.9999656250000001,4.192627457812058e-05,0.9999135666542777,1.0000176833457226,
AdvBench,Qwen3-Embedding-8B,B1_raw,E12,5,0.9999656250000001,4.192627457812058e-05,0.9999135666542777,1.0000176833457226,
AdvBench,Qwen3-Embedding-8B,B1b_SigmaT_wh,E12,5,0.9999437499999999,5.014627042465375e-05,0.9998814851813694,1.0000060148186305,
AdvBench,Qwen3-Embedding-8B,B1b_discriminant_mean_whitened,E12,5,0.9999437499999999,5.014627042465375e-05,0.9998814851813694,1.0000060148186305,
AdvBench,Qwen3-Embedding-8B,B1w_SigmaW_wh,E12,5,0.9999500000000001,6.385255231782786e-05,0.9998707165845937,1.0000292834154065,
AdvBench,Qwen3-Embedding-8B,B2_contrastive_svd_raw_k20,E12,5,0.9998999999999999,0.000120322645676124,0.9997505997026952,1.0000494002973046,
AdvBench,Qwen3-Embedding-8B,B2b_contrastive_svd_whitened_k20,E12,5,0.9969718749999998,0.0016136699365305392,0.9949682391348261,0.9989755108651736,
AdvBench,Qwen3-Embedding-8B,C1_logreg_raw,E12,5,0.9999781249999999,1.781524101718607e-05,0.9999560044566096,1.0000002455433903,
AdvBench,Qwen3-Embedding-8B,C1b_logreg_whitened,E12,5,0.9999437499999999,5.014627042465375e-05,0.9998814851813694,1.0000060148186305,
AdvBench,all-mpnet-base-v2,A1_naive_cosine_raw,E12,5,0.994103125,0.0009758184665640875,0.992891486341285,0.995314763658715,
AdvBench,all-mpnet-base-v2,A1b_cosine_whitened,E12,5,0.9984031250000001,0.0006939857426039288,0.997541427888142,0.9992648221118581,
AdvBench,all-mpnet-base-v2,A2_rsfi_svd_raw_k20,E12,5,0.99810625,0.0006489926087791673,0.9973004192425785,0.9989120807574214,
AdvBench,all-mpnet-base-v2,A3_rsfi_svd_whitened_k20,E12,5,0.976315625,0.01077395246684395,0.9629379961035612,0.9896932538964388,
AdvBench,all-mpnet-base-v2,B1_discriminant_mean_raw,E12,5,0.9977718750000001,0.00034527361206365724,0.9973431611863709,0.9982005888136293,
AdvBench,all-mpnet-base-v2,B1_raw,E12,5,0.9977718750000001,0.00034527361206365724,0.9973431611863709,0.9982005888136293,
AdvBench,all-mpnet-base-v2,B1b_SigmaT_wh,E12,5,0.998440625,0.0006270863614268074,0.9976619944412517,0.9992192555587482,
AdvBench,all-mpnet-base-v2,B1b_discriminant_mean_whitened,E12,5,0.998440625,0.0006270863614268074,0.9976619944412517,0.9992192555587482,
AdvBench,all-mpnet-base-v2,B1w_SigmaW_wh,E12,5,0.9987406249999999,0.0004858344947098981,0.9981373817988332,0.9993438682011667,
AdvBench,all-mpnet-base-v2,B2_contrastive_svd_raw_k20,E12,5,0.9990500000000001,0.00036046031768420365,0.9986024294007505,0.9994975705992497,
AdvBench,all-mpnet-base-v2,B2b_contrastive_svd_whitened_k20,E12,5,0.98853125,0.005141337336663952,0.9821474365264435,0.9949150634735564,
AdvBench,all-mpnet-base-v2,C1_logreg_raw,E12,5,0.9985781250000001,0.00047841596538732135,0.9979840931196128,0.9991721568803874,
