dataset,model,seed,n_ref_mal,n_ref_safe,n_test_attack,n_test_safe,attack_scenario,target_defense,evaluated_method,roc_auc,pr_auc,asr_at_1pct_fpr,asr_at_5pct_fpr,asr_at_median_safe,mean_perturb_ratio,mean_semantic_sim,mean_queries
AdvBench,all-mpnet-base-v2,2,200,200,60,200,clean,none,A1_naive_cosine_raw,0.9919166666666666,0.9826493490671568,0.08333333333333333,0.03333333333333333,0.0,0.0,1.0,1.0
AdvBench,all-mpnet-base-v2,2,200,200,60,200,clean,none,A2_rsfi_svd_raw_k20,0.9975833333333333,0.9926852024598171,0.03333333333333333,0.016666666666666666,0.0,0.0,1.0,1.0
AdvBench,all-mpnet-base-v2,2,200,200,60,200,clean,none,B1_discriminant_mean_raw,0.9937499999999999,0.9886918584726162,0.016666666666666666,0.016666666666666666,0.0,0.0,1.0,1.0
AdvBench,all-mpnet-base-v2,2,200,200,60,200,clean,none,B1b_SigmaT_wh,0.993,0.9893361728400486,0.0,0.0,0.0,0.0,1.0,1.0
AdvBench,all-mpnet-base-v2,2,200,200,60,200,clean,none,B1w_SigmaW_wh,0.9939166666666666,0.9897081966495725,0.0,0.0,0.0,0.0,1.0,1.0
AdvBench,all-mpnet-base-v2,2,200,200,60,200,clean,none,C1_logreg_raw,0.9955833333333334,0.9907179866353846,0.016666666666666666,0.016666666666666666,0.0,0.0,1.0,1.0
AdvBench,all-mpnet-base-v2,2,200,200,60,200,clean,none,deberta-v3-prompt-injection-v2,0.873375,0.6103156882393319,1.0,0.8333333333333334,0.05,0.0,1.0,1.0
AdvBench,all-mpnet-base-v2,2,200,200,60,200,clean,none,toxic-bert,0.9425,0.8390246371356036,0.5,0.25,0.016666666666666666,0.0,1.0,1.0
AdvBench,all-mpnet-base-v2,2,200,200,60,200,adaptive_word_greedy_target_B1,B1_raw,A1_naive_cosine_raw,0.9625833333333332,0.8947963527338049,0.4,0.16666666666666666,0.0,0.11939845042012225,0.849806989232699,49.25
AdvBench,all-mpnet-base-v2,2,200,200,60,200,adaptive_word_greedy_target_B1,B1_raw,A2_rsfi_svd_raw_k20,0.9907499999999999,0.9687885415448646,0.11666666666666667,0.03333333333333333,0.0,0.11939845042012225,0.849806989232699,49.25
AdvBench,all-mpnet-base-v2,2,200,200,60,200,adaptive_word_greedy_target_B1,B1_raw,B1_discriminant_mean_raw,0.9883333333333333,0.9686737185028493,0.1,0.016666666666666666,0.0,0.11939845042012225,0.849806989232699,49.25
AdvBench,all-mpnet-base-v2,2,200,200,60,200,adaptive_word_greedy_target_B1,B1_raw,B1b_SigmaT_wh,0.98825,0.9734279260474572,0.0,0.0,0.0,0.11939845042012225,0.849806989232699,49.25
AdvBench,all-mpnet-base-v2,2,200,200,60,200,adaptive_word_greedy_target_B1,B1_raw,B1w_SigmaW_wh,0.9894166666666666,0.9721583026585833,0.0,0.0,0.0,0.11939845042012225,0.849806989232699,49.25
AdvBench,all-mpnet-base-v2,2,200,200,60,200,adaptive_word_greedy_target_B1,B1_raw,C1_logreg_raw,0.9920833333333333,0.9735401032917319,0.016666666666666666,0.016666666666666666,0.0,0.11939845042012225,0.849806989232699,49.25
AdvBench,all-mpnet-base-v2,2,200,200,60,200,adaptive_word_greedy_target_B1,B1_raw,deberta-v3-prompt-injection-v2,0.8972500000000001,0.6981629580594143,0.9833333333333333,0.6333333333333333,0.016666666666666666,0.11939845042012225,0.849806989232699,49.25
AdvBench,all-mpnet-base-v2,2,200,200,60,200,adaptive_word_greedy_target_B1,B1_raw,toxic-bert,0.8881666666666668,0.7544009854367427,0.6333333333333333,0.38333333333333336,0.06666666666666667,0.11939845042012225,0.849806989232699,49.25
AdvBench,all-mpnet-base-v2,2,200,200,60,200,adaptive_affix_target_B1,B1_raw,A1_naive_cosine_raw,0.9934166666666666,0.9792991746208705,0.08333333333333333,0.016666666666666666,0.0,0.0,0.7591619203488033,6.0
AdvBench,all-mpnet-base-v2,2,200,200,60,200,adaptive_affix_target_B1,B1_raw,A2_rsfi_svd_raw_k20,0.9963333333333333,0.9859987924319707,0.03333333333333333,0.0,0.0,0.0,0.7591619203488033,6.0
AdvBench,all-mpnet-base-v2,2,200,200,60,200,adaptive_affix_target_B1,B1_raw,B1_discriminant_mean_raw,0.99525,0.985251196259012,0.016666666666666666,0.016666666666666666,0.0,0.0,0.7591619203488033,6.0
AdvBench,all-mpnet-base-v2,2,200,200,60,200,adaptive_affix_target_B1,B1_raw,B1b_SigmaT_wh,0.9968333333333333,0.9912766863452841,0.0,0.0,0.0,0.0,0.7591619203488033,6.0
AdvBench,all-mpnet-base-v2,2,200,200,60,200,adaptive_affix_target_B1,B1_raw,B1w_SigmaW_wh,0.9957499999999999,0.9873389882108552,0.0,0.0,0.0,0.0,0.7591619203488033,6.0
AdvBench,all-mpnet-base-v2,2,200,200,60,200,adaptive_affix_target_B1,B1_raw,C1_logreg_raw,0.99675,0.9876709564285481,0.016666666666666666,0.0,0.0,0.0,0.7591619203488033,6.0
AdvBench,all-mpnet-base-v2,2,200,200,60,200,adaptive_affix_target_B1,B1_raw,deberta-v3-prompt-injection-v2,0.982,0.937834046636643,0.6833333333333333,0.2,0.0,0.0,0.7591619203488033,6.0
AdvBench,all-mpnet-base-v2,2,200,200,60,200,adaptive_affix_target_B1,B1_raw,toxic-bert,0.81275,0.491891990083891,0.9333333333333333,0.8166666666666667,0.05,0.0,0.7591619203488033,6.0
AdvBench,all-mpnet-base-v2,2,200,200,60,200,adaptive_combined_target_B1,B1_raw,A1_naive_cosine_raw,0.9284166666666667,0.7238093376250259,0.8166666666666667,0.4666666666666667,0.0,0.12254744703417073,0.8285507877667745,114.08333333333333
AdvBench,all-mpnet-base-v2,2,200,200,60,200,adaptive_combined_target_B1,B1_raw,A2_rsfi_svd_raw_k20,0.9734999999999999,0.8752226700042901,0.4,0.08333333333333333,0.0,0.12254744703417073,0.8285507877667745,114.08333333333333
AdvBench,all-mpnet-base-v2,2,200,200,60,200,adaptive_combined_target_B1,B1_raw,B1_discriminant_mean_raw,0.9774166666666667,0.8768118770528271,0.38333333333333336,0.016666666666666666,0.0,0.12254744703417073,0.8285507877667745,114.08333333333333
AdvBench,all-mpnet-base-v2,2,200,200,60,200,adaptive_combined_target_B1,B1_raw,B1b_SigmaT_wh,0.9810833333333333,0.9207181000129588,0.0,0.0,0.0,0.12254744703417073,0.8285507877667745,114.08333333333333
AdvBench,all-mpnet-base-v2,2,200,200,60,200,adaptive_combined_target_B1,B1_raw,B1w_SigmaW_wh,0.9855833333333333,0.920925681915565,0.0,0.0,0.0,0.12254744703417073,0.8285507877667745,114.08333333333333
AdvBench,all-mpnet-base-v2,2,200,200,60,200,adaptive_combined_target_B1,B1_raw,C1_logreg_raw,0.9880000000000001,0.9142754248461911,0.03333333333333333,0.0,0.0,0.12254744703417073,0.8285507877667745,114.08333333333333
AdvBench,all-mpnet-base-v2,2,200,200,60,200,adaptive_combined_target_B1,B1_raw,deberta-v3-prompt-injection-v2,0.9786666666666667,0.9495848849840527,0.48333333333333334,0.13333333333333333,0.0,0.12254744703417073,0.8285507877667745,114.08333333333333
AdvBench,all-mpnet-base-v2,2,200,200,60,200,adaptive_combined_target_B1,B1_raw,toxic-bert,0.71325,0.5047472545105576,0.8,0.7666666666666667,0.2833333333333333,0.12254744703417073,0.8285507877667745,114.08333333333333
AdvBench,all-mpnet-base-v2,2,200,200,60,200,adaptive_word_greedy_target_B1w,B1w_wh,A1_naive_cosine_raw,0.9675833333333332,0.9138324871312072,0.2833333333333333,0.16666666666666666,0.0,0.12328733930901112,0.8470331331094106,49.516666666666666
