seed,n_ref_mal,n_ref_safe,n_test_attack,n_test_safe,obfuscation,method,roc_auc,pr_auc,dataset,model,dim
3,200,200,184,4498,leetspeak,A2_rsfi_svd_raw_k20,0.6210743422197305,0.0470469991867272,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,leetspeak,B1_discriminant_mean_raw,0.6720801032342877,0.05963279412410595,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,leetspeak,B1b_SigmaT_wh,0.702817194115259,0.06759955825279457,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,leetspeak,B1w_SigmaW_wh,0.6900446091982909,0.06558513506334751,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,leetspeak,C1_logreg_raw,0.7107687957932995,0.0718418544761099,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,rot13,A1_naive_cosine_raw,0.8267394204187368,0.10010363571284778,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,rot13,A2_rsfi_svd_raw_k20,0.6894851818199392,0.05648087720486436,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,rot13,B1_discriminant_mean_raw,0.7227354669708276,0.06440792264453077,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,rot13,B1b_SigmaT_wh,0.38176750053163727,0.028728937602152137,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,rot13,B1w_SigmaW_wh,0.5360232567131286,0.038620381810980715,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,rot13,C1_logreg_raw,0.7208880275291434,0.06504730164883074,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,zero_width,A1_naive_cosine_raw,0.9123740986332088,0.5293801495038692,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,zero_width,A2_rsfi_svd_raw_k20,0.9319045179500067,0.5714716710128944,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,zero_width,B1_discriminant_mean_raw,0.9494618381116244,0.6496724108373221,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,zero_width,B1b_SigmaT_wh,0.9611796063951129,0.695325905945105,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,zero_width,B1w_SigmaW_wh,0.9636420534730412,0.7065535213036482,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,zero_width,C1_logreg_raw,0.9657951843331335,0.6944559606000342,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,homoglyph,A1_naive_cosine_raw,0.8403843737313202,0.11817418216391687,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,homoglyph,A2_rsfi_svd_raw_k20,0.761198213698842,0.07365928336009493,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,homoglyph,B1_discriminant_mean_raw,0.8466274866124075,0.1351998506497865,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,homoglyph,B1b_SigmaT_wh,0.7200374079300945,0.09703820954501836,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,homoglyph,B1w_SigmaW_wh,0.799804744137491,0.13134986604131735,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,homoglyph,C1_logreg_raw,0.8551699305971737,0.14850344003023305,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,clean,A1_naive_cosine_raw,0.921706748893228,0.5205860694852257,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,clean,A2_rsfi_svd_raw_k20,0.9456243837840974,0.6065571881899954,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,clean,B1_discriminant_mean_raw,0.9559296885572333,0.6457028507849555,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,clean,B1b_SigmaT_wh,0.9621051385156688,0.6876598064623219,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,clean,B1w_SigmaW_wh,0.9732791868849924,0.7276539884225042,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,clean,C1_logreg_raw,0.9776676107255399,0.7266112072753731,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,base64,A1_naive_cosine_raw,0.7544669611614824,0.08045282039585769,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,base64,A2_rsfi_svd_raw_k20,0.6448771917953873,0.05453067364947895,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,base64,B1_discriminant_mean_raw,0.682410781603418,0.07004774158978036,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,base64,B1b_SigmaT_wh,0.6877742764900343,0.07738431416048315,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,base64,B1w_SigmaW_wh,0.7272157190635451,0.0891907631846635,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,base64,C1_logreg_raw,0.7265547973012161,0.08331391882960805,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,leetspeak,A1_naive_cosine_raw,0.775820654590446,0.08111118735741386,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,leetspeak,A2_rsfi_svd_raw_k20,0.6375840953467241,0.048677909015694236,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,leetspeak,B1_discriminant_mean_raw,0.6481896543391266,0.05485213832565709,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,leetspeak,B1b_SigmaT_wh,0.6963867999304039,0.09265939861487413,ToxicChat,all-mpnet-base-v2,768
4,200,200,184,4498,leetspeak,B1w_SigmaW_wh,0.65054396156746,0.06865155483586302,ToxicChat,all-mpnet-base-v2,768
