dataset,seed,n_ref_mal,n_ref_safe,n_test_attack,n_test_safe,obfuscation,method,roc_auc,pr_auc
XSTest,3,66,83,134,167,clean,EXT:deberta-v3-base-prompt-injection-v2,0.3924613459647868,0.37029694935251983
XSTest,3,66,83,134,167,base64,EXT:deberta-v3-base-prompt-injection-v2,0.9973634819912414,0.9959298391063682
XSTest,3,66,83,134,167,leetspeak,EXT:deberta-v3-base-prompt-injection-v2,0.9997765662704441,0.9997194161467982
XSTest,3,66,83,134,167,rot13,EXT:deberta-v3-base-prompt-injection-v2,0.9774555366878184,0.957578871052683
XSTest,3,66,83,134,167,zero_width,EXT:deberta-v3-base-prompt-injection-v2,1.0,1.0
XSTest,3,66,83,134,167,homoglyph,EXT:deberta-v3-base-prompt-injection-v2,0.9961122531057288,0.9942822005160273
XSTest,3,66,83,134,167,clean,EXT:toxic-bert,0.6664581285190814,0.584978418714555
XSTest,3,66,83,134,167,base64,EXT:toxic-bert,0.874251497005988,0.7280711429560641
XSTest,3,66,83,134,167,leetspeak,EXT:toxic-bert,0.8554383769773886,0.6859171459029477
XSTest,3,66,83,134,167,rot13,EXT:toxic-bert,0.7874251497005988,0.612104034477281
XSTest,3,66,83,134,167,zero_width,EXT:toxic-bert,0.6664581285190814,0.584978418714555
XSTest,3,66,83,134,167,homoglyph,EXT:toxic-bert,0.9158548574492805,0.786632538523932
XSTest,4,66,83,134,167,clean,EXT:deberta-v3-base-prompt-injection-v2,0.4148047189203682,0.3749914677298838
XSTest,4,66,83,134,167,base64,EXT:deberta-v3-base-prompt-injection-v2,0.9967825542943963,0.9952314132184532
XSTest,4,66,83,134,167,leetspeak,EXT:deberta-v3-base-prompt-injection-v2,0.9998659397622665,0.9998329187241266
XSTest,4,66,83,134,167,rot13,EXT:deberta-v3-base-prompt-injection-v2,0.9709089284118331,0.9446093643730001
XSTest,4,66,83,134,167,zero_width,EXT:deberta-v3-base-prompt-injection-v2,1.0,1.0
XSTest,4,66,83,134,167,homoglyph,EXT:deberta-v3-base-prompt-injection-v2,0.9966038073107516,0.9951630579946147
XSTest,4,66,83,134,167,clean,EXT:toxic-bert,0.646885333809992,0.5703781027864432
XSTest,4,66,83,134,167,base64,EXT:toxic-bert,0.8757261596210565,0.7253564067640562
XSTest,4,66,83,134,167,leetspeak,EXT:toxic-bert,0.8560639914201447,0.6861585025104192
XSTest,4,66,83,134,167,rot13,EXT:toxic-bert,0.788587005094289,0.6124198142307659
XSTest,4,66,83,134,167,zero_width,EXT:toxic-bert,0.646885333809992,0.5703781027864432
XSTest,4,66,83,134,167,homoglyph,EXT:toxic-bert,0.9117883635713647,0.7784703560706886
