train_ds,target_ds,embedder,seed,method,n_test,roc_auc,pr_auc,tpr_fpr1,tpr_fpr5
Wild,Wild,bge-base-en-v1.5,0,B1b_SigmaT,400,0.8384749999999999,0.8241542130805117,0.115,0.345
Wild,Wild,bge-base-en-v1.5,0,B1w_SigmaW,400,0.8559749999999999,0.8418714358586206,0.135,0.355
Wild,Wild,bge-base-en-v1.5,0,DELONG_B1w_vs_A1,400,4.0864679308638685e-05,,,
Wild,ToxicChat,bge-base-en-v1.5,0,A1_raw,400,0.746375,0.7736932664108072,0.235,0.365
Wild,ToxicChat,bge-base-en-v1.5,0,B1_raw,400,0.7026,0.7493464781010921,0.24,0.34
Wild,ToxicChat,bge-base-en-v1.5,0,B1b_SigmaT,400,0.7353999999999999,0.7232168515027472,0.085,0.25
Wild,ToxicChat,bge-base-en-v1.5,0,B1w_SigmaW,400,0.7484,0.7337426719337367,0.09,0.245
Wild,ToxicChat,bge-base-en-v1.5,0,DELONG_B1w_vs_A1,400,0.9440587162690222,,,
Wild,XSTest,bge-base-en-v1.5,0,A1_raw,400,0.7353750000000001,0.7236060227227457,0.09,0.24
Wild,XSTest,bge-base-en-v1.5,0,B1_raw,400,0.533625,0.4916540907165886,0.0,0.005
Wild,XSTest,bge-base-en-v1.5,0,B1b_SigmaT,400,0.594775,0.5804406857567854,0.02,0.075
Wild,XSTest,bge-base-en-v1.5,0,B1w_SigmaW,400,0.596325,0.5861404898204923,0.03,0.06
Wild,XSTest,bge-base-en-v1.5,0,DELONG_B1w_vs_A1,400,6.000551900742224e-05,,,
Wild,AdvBench,bge-base-en-v1.5,0,A1_raw,400,0.76725,0.6809321992106661,0.005,0.095
Wild,AdvBench,bge-base-en-v1.5,0,B1_raw,400,0.7920250000000001,0.7605952060606116,0.11,0.305
Wild,AdvBench,bge-base-en-v1.5,0,B1b_SigmaT,400,0.712475,0.6630286042908955,0.0,0.145
Wild,AdvBench,bge-base-en-v1.5,0,B1w_SigmaW,400,0.736475,0.6882122651538499,0.03,0.19
Wild,AdvBench,bge-base-en-v1.5,0,DELONG_B1w_vs_A1,400,0.3587957146548022,,,
Wild,HarmBench,bge-base-en-v1.5,0,A1_raw,400,0.6675,0.589324307464508,0.01,0.03
Wild,HarmBench,bge-base-en-v1.5,0,B1_raw,400,0.702375,0.693832366513591,0.085,0.205
Wild,HarmBench,bge-base-en-v1.5,0,B1b_SigmaT,400,0.724375,0.7218514836443406,0.125,0.215
Wild,HarmBench,bge-base-en-v1.5,0,B1w_SigmaW,400,0.7269000000000001,0.722847201220574,0.12,0.215
Wild,HarmBench,bge-base-en-v1.5,0,DELONG_B1w_vs_A1,400,0.0815189699615877,,,
Wild,Wild,bge-base-en-v1.5,1,A1_raw,400,0.7945875,0.7641178781713741,0.105,0.235
Wild,Wild,bge-base-en-v1.5,1,B1_raw,400,0.8697625,0.8251513657577532,0.05,0.35
Wild,Wild,bge-base-en-v1.5,1,B1b_SigmaT,400,0.853275,0.860771346671696,0.31,0.455
Wild,Wild,bge-base-en-v1.5,1,B1w_SigmaW,400,0.869875,0.8707331239386558,0.29,0.44
Wild,Wild,bge-base-en-v1.5,1,DELONG_B1w_vs_A1,400,0.0008402228938555,,,
Wild,ToxicChat,bge-base-en-v1.5,1,A1_raw,400,0.7328,0.7593322013701349,0.215,0.365
Wild,ToxicChat,bge-base-en-v1.5,1,B1_raw,400,0.7330249999999998,0.7446116442670786,0.115,0.255
Wild,ToxicChat,bge-base-en-v1.5,1,B1b_SigmaT,400,0.7692749999999999,0.77579012153536,0.115,0.295
Wild,ToxicChat,bge-base-en-v1.5,1,B1w_SigmaW,400,0.7962,0.8122466152162107,0.195,0.395
Wild,ToxicChat,bge-base-en-v1.5,1,DELONG_B1w_vs_A1,400,0.0232140698785416,,,
Wild,XSTest,bge-base-en-v1.5,1,A1_raw,400,0.7210500000000001,0.692866942605169,0.05,0.2
Wild,XSTest,bge-base-en-v1.5,1,B1_raw,400,0.48705,0.4620405002855234,0.0,0.0
Wild,XSTest,bge-base-en-v1.5,1,B1b_SigmaT,400,0.6455,0.6582371727693113,0.065,0.16
Wild,XSTest,bge-base-en-v1.5,1,B1w_SigmaW,400,0.637125,0.6408731734518983,0.025,0.15
Wild,XSTest,bge-base-en-v1.5,1,DELONG_B1w_vs_A1,400,0.0070871547009123,,,
Wild,AdvBench,bge-base-en-v1.5,1,A1_raw,400,0.784,0.682674569875593,0.0,0.065
Wild,AdvBench,bge-base-en-v1.5,1,B1_raw,400,0.71815,0.6714723807646734,0.005,0.16
Wild,AdvBench,bge-base-en-v1.5,1,B1b_SigmaT,400,0.7191,0.6689821389195493,0.005,0.115
Wild,AdvBench,bge-base-en-v1.5,1,B1w_SigmaW,400,0.7240249999999999,0.6819610533721876,0.025,0.165
Wild,AdvBench,bge-base-en-v1.5,1,DELONG_B1w_vs_A1,400,0.0611187557315089,,,
Wild,HarmBench,bge-base-en-v1.5,1,A1_raw,400,0.685425,0.6219477068161215,0.02,0.045
Wild,HarmBench,bge-base-en-v1.5,1,B1_raw,400,0.6411250000000001,0.6529274170642849,0.07,0.205
Wild,HarmBench,bge-base-en-v1.5,1,B1b_SigmaT,400,0.488,0.5156846803961942,0.02,0.065
Wild,HarmBench,bge-base-en-v1.5,1,B1w_SigmaW,400,0.5033750000000001,0.5244071979358256,0.02,0.05
Wild,HarmBench,bge-base-en-v1.5,1,DELONG_B1w_vs_A1,400,3.768849128338303e-06,,,
Wild,Wild,bge-base-en-v1.5,2,A1_raw,400,0.79975,0.7937494868584316,0.1,0.38
Wild,Wild,bge-base-en-v1.5,2,B1_raw,400,0.898625,0.8859919187587655,0.3,0.505
Wild,Wild,bge-base-en-v1.5,2,B1b_SigmaT,400,0.860575,0.8703173765428449,0.335,0.51
Wild,Wild,bge-base-en-v1.5,2,B1w_SigmaW,400,0.879475,0.885489286318495,0.325,0.52
Wild,Wild,bge-base-en-v1.5,2,DELONG_B1w_vs_A1,400,0.0006082190343168,,,
Wild,ToxicChat,bge-base-en-v1.5,2,A1_raw,400,0.753425,0.7819560302705372,0.275,0.37
Wild,ToxicChat,bge-base-en-v1.5,2,B1_raw,400,0.6911,0.7120194964473484,0.13,0.235
Wild,ToxicChat,bge-base-en-v1.5,2,B1b_SigmaT,400,0.6534000000000001,0.6691604379683601,0.05,0.21
Wild,ToxicChat,bge-base-en-v1.5,2,B1w_SigmaW,400,0.6804,0.6928143449830264,0.065,0.225
Wild,ToxicChat,bge-base-en-v1.5,2,DELONG_B1w_vs_A1,400,0.0271761365980742,,,
Wild,XSTest,bge-base-en-v1.5,2,A1_raw,400,0.72695,0.7048318148906587,0.065,0.225
Wild,XSTest,bge-base-en-v1.5,2,B1_raw,400,0.4947,0.4633309769502431,0.0,0.005
Wild,XSTest,bge-base-en-v1.5,2,B1b_SigmaT,400,0.613,0.6271374180323235,0.03,0.16
Wild,XSTest,bge-base-en-v1.5,2,B1w_SigmaW,400,0.603375,0.6040560308867859,0.03,0.105
Wild,XSTest,bge-base-en-v1.5,2,DELONG_B1w_vs_A1,400,0.0005822904151735,,,
Wild,AdvBench,bge-base-en-v1.5,2,A1_raw,400,0.7164,0.6125622730277004,0.0,0.045
Wild,AdvBench,bge-base-en-v1.5,2,B1_raw,400,0.6973500000000001,0.6494027474003444,0.02,0.115
Wild,AdvBench,bge-base-en-v1.5,2,B1b_SigmaT,400,0.6907249999999999,0.642298651378593,0.02,0.13
Wild,AdvBench,bge-base-en-v1.5,2,B1w_SigmaW,400,0.6483,0.5929541352697973,0.02,0.08
Wild,AdvBench,bge-base-en-v1.5,2,DELONG_B1w_vs_A1,400,0.0725416780072367,,,
Wild,HarmBench,bge-base-en-v1.5,2,A1_raw,400,0.68685,0.6308008083618075,0.025,0.05
Wild,HarmBench,bge-base-en-v1.5,2,B1_raw,400,0.65065,0.6275270327454587,0.045,0.115
Wild,HarmBench,bge-base-en-v1.5,2,B1b_SigmaT,400,0.589475,0.57057452978754,0.0,0.05
