dataset,model,dim,seed,method,roc_auc,pr_auc,n_test
ToxicChat,bge-large-en-v1.5,1024,4,A1b_cosine_whitened,0.9566703559069731,0.697312878186147,4682
ToxicChat,bge-large-en-v1.5,1024,4,A2_rsfi_svd_raw_k20,0.9311118951418021,0.5444373341892934,4682
ToxicChat,bge-large-en-v1.5,1024,4,A3_rsfi_svd_whitened_k20,0.8459641483171265,0.3783941497162387,4682
ToxicChat,bge-large-en-v1.5,1024,4,B1_discriminant_mean_raw,0.9508187213640845,0.610594543815308,4682
ToxicChat,bge-large-en-v1.5,1024,4,B1b_discriminant_mean_whitened,0.9568697198755003,0.6913600949995294,4682
ToxicChat,bge-large-en-v1.5,1024,4,B2_contrastive_svd_raw_k20,0.9596704815666866,0.5834192628660902,4682
ToxicChat,bge-large-en-v1.5,1024,4,B2b_contrastive_svd_whitened_k20,0.908638138689659,0.46987249188645497,4682
ToxicChat,bge-large-en-v1.5,1024,4,C1_logreg_raw,0.9738494886616273,0.7045541058885474,4682
ToxicChat,bge-large-en-v1.5,1024,4,C1b_logreg_whitened,0.9543492760067275,0.6703187550643153,4682
Wild,all-mpnet-base-v2,768,0,A1_naive_cosine_raw,0.78700625,0.7555347599691886,1600
Wild,all-mpnet-base-v2,768,0,A1b_cosine_whitened,0.83343125,0.81582458619246,1600
Wild,all-mpnet-base-v2,768,0,A2_rsfi_svd_raw_k20,0.78589765625,0.7723102687776996,1600
Wild,all-mpnet-base-v2,768,0,A3_rsfi_svd_whitened_k20,0.80378203125,0.8035436978950454,1600
Wild,all-mpnet-base-v2,768,0,B1_discriminant_mean_raw,0.87066875,0.8332459258371694,1600
Wild,all-mpnet-base-v2,768,0,B1b_discriminant_mean_whitened,0.8301875,0.8155151618877667,1600
Wild,all-mpnet-base-v2,768,0,B2_contrastive_svd_raw_k20,0.8258312500000001,0.8156635934942175,1600
Wild,all-mpnet-base-v2,768,0,B2b_contrastive_svd_whitened_k20,0.8363492187499999,0.8269210632248598,1600
Wild,all-mpnet-base-v2,768,0,C1_logreg_raw,0.8771406249999999,0.8493852149597282,1600
Wild,all-mpnet-base-v2,768,0,C1b_logreg_whitened,0.82166171875,0.8144586730581086,1600
Wild,all-mpnet-base-v2,768,1,A1_naive_cosine_raw,0.79114921875,0.7619789350953644,1600
Wild,all-mpnet-base-v2,768,1,A1b_cosine_whitened,0.8438335937500001,0.8470299068043885,1600
Wild,all-mpnet-base-v2,768,1,A2_rsfi_svd_raw_k20,0.79391328125,0.7873441616812032,1600
Wild,all-mpnet-base-v2,768,1,A3_rsfi_svd_whitened_k20,0.8035414062499999,0.816078811861656,1600
Wild,all-mpnet-base-v2,768,1,B1_discriminant_mean_raw,0.8709398437500001,0.8394145108862027,1600
Wild,all-mpnet-base-v2,768,1,B1b_discriminant_mean_whitened,0.8396125,0.843248660764558,1600
