dataset,model,seed,alpha,auc
XSTest,bge-base-en-v1.5,0,1.0,0.1844222003753687
XSTest,bge-base-en-v1.5,0,1.5,0.18518187505585842
XSTest,bge-base-en-v1.5,0,3.0,0.18813120028599517
XSTest,bge-base-en-v1.5,0,5.0,0.19081240504066493
XSTest,bge-base-en-v1.5,0,10.0,0.19438734471355795
XSTest,bge-base-en-v1.5,0,30.0,0.19671105550093843
XSTest,bge-base-en-v1.5,0,100.0,0.19706854946822774
XSTest,bge-base-en-v1.5,1,0.5,0.2587362588256323
XSTest,bge-base-en-v1.5,1,1.0,0.2597640539815891
XSTest,bge-base-en-v1.5,1,1.5,0.26043435517025654
XSTest,bge-base-en-v1.5,1,3.0,0.2624005719903477
XSTest,bge-base-en-v1.5,1,5.0,0.2637411743676826
XSTest,bge-base-en-v1.5,1,10.0,0.2653052104745732
XSTest,bge-base-en-v1.5,1,30.0,0.26637769237644116
XSTest,bge-base-en-v1.5,1,100.0,0.2675395477701314
XSTest,bge-base-en-v1.5,2,0.5,0.21860756099740816
XSTest,bge-base-en-v1.5,2,1.0,0.21404951291446955
XSTest,bge-base-en-v1.5,2,1.5,0.21351327196353562
XSTest,bge-base-en-v1.5,2,3.0,0.21690946465278396
XSTest,bge-base-en-v1.5,2,5.0,0.2190544284565198
XSTest,bge-base-en-v1.5,2,10.0,0.2211993922602556
XSTest,bge-base-en-v1.5,2,30.0,0.22253999463759047
XSTest,bge-base-en-v1.5,2,100.0,0.22321029582625795
XSTest,bge-base-en-v1.5,3,0.5,0.2159263562427384
XSTest,bge-base-en-v1.5,3,1.0,0.21820538028420772
XSTest,bge-base-en-v1.5,3,1.5,0.21985878988292074
XSTest,bge-base-en-v1.5,3,3.0,0.2241934042363035
XSTest,bge-base-en-v1.5,3,5.0,0.22758959692555186
XSTest,bge-base-en-v1.5,3,10.0,0.23022611493431047
XSTest,bge-base-en-v1.5,3,30.0,0.2334435606399142
XSTest,bge-base-en-v1.5,3,100.0,0.2346054160336044
XSTest,bge-base-en-v1.5,4,0.5,0.213066404504424
XSTest,bge-base-en-v1.5,4,1.0,0.2126195370453124
XSTest,bge-base-en-v1.5,4,1.5,0.21320046474215748
XSTest,bge-base-en-v1.5,4,3.0,0.2152113683081598
XSTest,bge-base-en-v1.5,4,5.0,0.21717758512825094
XSTest,bge-base-en-v1.5,4,10.0,0.21909911520243094
XSTest,bge-base-en-v1.5,4,30.0,0.22030565734203233
XSTest,bge-base-en-v1.5,4,100.0,0.22066315130932165
XSTest,bge-large-en-v1.5,0,0.5,0.195504513361337
XSTest,bge-large-en-v1.5,0,1.0,0.18804182679417286
XSTest,bge-large-en-v1.5,0,1.5,0.1854499955313254
XSTest,bge-large-en-v1.5,0,3.0,0.1867905979086603
XSTest,bge-large-en-v1.5,0,5.0,0.18670122441683795
XSTest,bge-large-en-v1.5,0,10.0,0.18723746536777192
XSTest,bge-large-en-v1.5,0,30.0,0.1885780677451068
XSTest,bge-large-en-v1.5,0,100.0,0.18862275449101795
XSTest,bge-large-en-v1.5,1,0.5,0.26391992135132714
XSTest,bge-large-en-v1.5,1,1.0,0.2597640539815891
XSTest,bge-large-en-v1.5,1,1.5,0.2578872106533202
XSTest,bge-large-en-v1.5,1,3.0,0.2568594154973635
XSTest,bge-large-en-v1.5,1,5.0,0.2563678612923407
XSTest,bge-large-en-v1.5,1,10.0,0.2577084636696756
XSTest,bge-large-en-v1.5,1,30.0,0.2575297166860309
XSTest,bge-large-en-v1.5,1,100.0,0.2578872106533202
XSTest,bge-large-en-v1.5,2,0.5,0.22562338010546074
XSTest,bge-large-en-v1.5,2,1.0,0.2221825006703012
XSTest,bge-large-en-v1.5,2,1.5,0.22231656090803467
XSTest,bge-large-en-v1.5,2,3.0,0.22419340423630352
XSTest,bge-large-en-v1.5,2,5.0,0.22691929573688446
XSTest,bge-large-en-v1.5,2,10.0,0.2283939583519528
XSTest,bge-large-en-v1.5,2,30.0,0.22973456072928772
XSTest,bge-large-en-v1.5,2,100.0,0.230092054696577
XSTest,bge-large-en-v1.5,3,0.5,0.22088658503887748
XSTest,bge-large-en-v1.5,3,1.0,0.21918848869425328
XSTest,bge-large-en-v1.5,3,1.5,0.2200822236124766
XSTest,bge-large-en-v1.5,3,3.0,0.2215568862275449
XSTest,bge-large-en-v1.5,3,5.0,0.2232549825721691
XSTest,bge-large-en-v1.5,3,10.0,0.22472964518723745
XSTest,bge-large-en-v1.5,3,30.0,0.2256680668513719
XSTest,bge-large-en-v1.5,3,100.0,0.22624899454821698
XSTest,bge-large-en-v1.5,4,0.5,0.21592635624273837
XSTest,bge-large-en-v1.5,4,1.0,0.20676557333095008
XSTest,bge-large-en-v1.5,4,1.5,0.20390562159263562
XSTest,bge-large-en-v1.5,4,3.0,0.20158191080525514
XSTest,bge-large-en-v1.5,4,5.0,0.20211815175618913
XSTest,bge-large-en-v1.5,4,10.0,0.2027437661989454
XSTest,bge-large-en-v1.5,4,30.0,0.20359281437125748
XSTest,bge-large-en-v1.5,4,100.0,0.20390562159263564
