dataset,seed,n_test,model,pair,method_1,method_2,auc_1,auc_2,auc_diff,p_value
AdvBench_BB_Safe,1,1320,Qwen3-Embedding-8B,B1b_vs_B1,B1b_discriminant_mean_whitened,B1_discriminant_mean_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,1,1320,Qwen3-Embedding-8B,B1b_vs_A1b,B1b_discriminant_mean_whitened,A1b_cosine_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,1,1320,Qwen3-Embedding-8B,B1w_vs_B1b,B1w_SigmaW_wh,B1b_SigmaT_wh,1.0,1.0,0.0,
AdvBench_BB_Safe,1,1320,Qwen3-Embedding-8B,B1b_vs_B1,B1b_SigmaT_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,1,1320,Qwen3-Embedding-8B,B1w_vs_B1,B1w_SigmaW_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,2,1320,Qwen3-Embedding-8B,B1b_vs_C1b,B1b_discriminant_mean_whitened,C1b_logreg_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,2,1320,Qwen3-Embedding-8B,B1_vs_A1,B1_discriminant_mean_raw,A1_naive_cosine_raw,1.0,0.996865625,0.0031343750000000226,0.13708001697069405
AdvBench_BB_Safe,2,1320,Qwen3-Embedding-8B,B1_vs_C1,B1_discriminant_mean_raw,C1_logreg_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,2,1320,Qwen3-Embedding-8B,A3_vs_A1,A3_rsfi_svd_whitened_k20,A1_naive_cosine_raw,0.996796875,0.996865625,-6.87499999999508e-05,0.9729443200407997
AdvBench_BB_Safe,2,1320,Qwen3-Embedding-8B,B1b_vs_B1,B1b_discriminant_mean_whitened,B1_discriminant_mean_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,2,1320,Qwen3-Embedding-8B,B1b_vs_A1b,B1b_discriminant_mean_whitened,A1b_cosine_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,2,1320,Qwen3-Embedding-8B,B1w_vs_B1b,B1w_SigmaW_wh,B1b_SigmaT_wh,1.0,1.0,0.0,
AdvBench_BB_Safe,2,1320,Qwen3-Embedding-8B,B1b_vs_B1,B1b_SigmaT_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,2,1320,Qwen3-Embedding-8B,B1w_vs_B1,B1w_SigmaW_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,3,1320,Qwen3-Embedding-8B,B1b_vs_C1b,B1b_discriminant_mean_whitened,C1b_logreg_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,3,1320,Qwen3-Embedding-8B,B1_vs_A1,B1_discriminant_mean_raw,A1_naive_cosine_raw,1.0,0.99640625,0.003593749999999951,0.1011662246776237
AdvBench_BB_Safe,3,1320,Qwen3-Embedding-8B,B1_vs_C1,B1_discriminant_mean_raw,C1_logreg_raw,1.0,1.0,0.0,
