train_ds,target_ds,embedder,method,mean_auc,std_auc
ToxicChat,ToxicChat,all-mpnet-base-v2,B1b_SigmaT,0.9624728260869567,0.0016272614045195327
ToxicChat,ToxicChat,all-mpnet-base-v2,B1w_SigmaW,0.9687989130434783,0.003936908280620545
ToxicChat,ToxicChat,all-mpnet-base-v2,DELONG_B1w_vs_A1,2.072982656633471e-05,2.558183250444923e-05
ToxicChat,ToxicChat,bge-base-en-v1.5,A1_raw,0.8755760869565217,0.011555311526746168
ToxicChat,ToxicChat,bge-base-en-v1.5,B1_raw,0.9497934782608695,0.0068437973397383785
ToxicChat,ToxicChat,bge-base-en-v1.5,B1b_SigmaT,0.9525,0.009341820618935714
ToxicChat,ToxicChat,bge-base-en-v1.5,B1w_SigmaW,0.9621467391304348,0.007437664312492938
ToxicChat,ToxicChat,bge-base-en-v1.5,DELONG_B1w_vs_A1,1.6728484607320126e-06,2.3039263435160705e-06
ToxicChat,ToxicChat,bge-large-en-v1.5,A1_raw,0.8792228260869566,0.00820329532746926
ToxicChat,ToxicChat,bge-large-en-v1.5,B1_raw,0.9560434782608696,0.003219655765247605
ToxicChat,ToxicChat,bge-large-en-v1.5,B1b_SigmaT,0.9548858695652174,0.005793507575992386
ToxicChat,ToxicChat,bge-large-en-v1.5,B1w_SigmaW,0.9636304347826087,0.0036067982996668456
ToxicChat,ToxicChat,bge-large-en-v1.5,DELONG_B1w_vs_A1,3.81159585760571e-07,3.570520230664122e-07
ToxicChat,Wild,Qwen3-Embedding-8B,A1_raw,0.7734375,0.044715633626562855
ToxicChat,Wild,Qwen3-Embedding-8B,B1_raw,0.7817275,0.01646241790032677
ToxicChat,Wild,Qwen3-Embedding-8B,B1b_SigmaT,0.8070425,0.030037598314445847
ToxicChat,Wild,Qwen3-Embedding-8B,B1w_SigmaW,0.8123574999999998,0.0320953250587216
ToxicChat,Wild,Qwen3-Embedding-8B,DELONG_B1w_vs_A1,0.2544910941281899,0.3665829271648256
ToxicChat,Wild,all-mpnet-base-v2,A1_raw,0.6905375,0.0070871141870298675
ToxicChat,Wild,all-mpnet-base-v2,B1_raw,0.7456075,0.012870040306852234
ToxicChat,Wild,all-mpnet-base-v2,B1b_SigmaT,0.7861925,0.020977245112263957
ToxicChat,Wild,all-mpnet-base-v2,B1w_SigmaW,0.7788275,0.015892643738535155
ToxicChat,Wild,all-mpnet-base-v2,DELONG_B1w_vs_A1,0.0003769464697422275,0.0006682156771724971
ToxicChat,Wild,bge-base-en-v1.5,A1_raw,0.6810674999999999,0.0029112470480878293
ToxicChat,Wild,bge-base-en-v1.5,B1_raw,0.7174225,0.009640666632811216
ToxicChat,Wild,bge-base-en-v1.5,B1b_SigmaT,0.7815350000000001,0.02371495341814954
ToxicChat,Wild,bge-base-en-v1.5,B1w_SigmaW,0.78228,0.025213560649479907
